Quote from report,File name,Quote from source,
Market share. even thought it could be a good indicator for depicting company’s economic performance ,"  (Bhattacharya et al., 2022)","report a significant positive relationship between a firm's market share and its economic performance""",https://journals.sagepub.com/doi/pdf/10.1177/00222429211031922
"Shifts in material sourcing, such as reliance on lower-grade domestic raw material, would reduce processing capacity, and as a response to that, alternative technological solutions are adopted to account for these changes. ",Alonso et al. (2010),"When manufacturers experience shifts in material sourcing, they start to adopt new technologies. Such as:"" These strategies include (1) improving production efficiency, (2) developing technology to use more sustainable substitute materials, and (3) facilitating a more effective materials recycling infrastructure.""  ""Overall, as prices rose, the supply chain responded through materials substitution and development of new technology, source relocation, hoarding and rationing, supply mode changes, and recycling."" ",https://pubs.acs.org/doi/pdf/10.1021/es070159c?ref=article_openPDF
 Alternative Rejection of R&D Expenditure. Suggested that R&D spending does not accurately predict the implementation of new technologies,Kleinknecht et al. (2002),"""the two most commonly used indicators (R&D and patent applications) have more (and more severe) weaknesses than is often assumed.”",https://www.tandfonline.com/doi/pdf/10.1080/10438590210899
"Therefore, R&D expenditure is an indirect way to track the number and type of technology adoption.",Gelebo et al. (2015) ,"distinguished between “frontier innovation,” which is measured by R&D spending, and “adaptation of existing technologies,” showing these are two separate indicators predicting different processes. ",https://download.ssrn.com/18/02/09/ssrn_id3121117_code2886190.pdf?response-content-disposition=attachment%3B%20filename%3Dssrn-3121117.pdf&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEOL%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQDxLAmC5PhFkHPvSP9V2dyDyBU01M%2Frrdb%2FNxHJpc9D%2FQIhAKvjBPyWmaXEMXm1BLZfM5DZhmWRZQSWyotDYw6JdpPoKsYFCIv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBBoMMzA4NDc1MzAxMjU3Igzm3Rto7ldmktjYzx4qmgU7MiNKNA%2Ffjx%2FezZALOOObYI%2F1pQSG%2FtaTuOCceIAOfGQD%2BJzUbdVfz0Q7RtXN04ldkpdCZOSGMfUl0t3qKb4oLTEauY21QZEyHE%2FZQ%2FC9654u5ehBFUbQ5JTNmk%2Fp5%2BmhFy1KCipDb6e%2Bxe8uaegjd0fMhvql7cpYA%2BSF8Xa03%2Fnl3sju%2FbvQwwhmmQNF4F%2Fn0JVntWvfKyh%2BjLbaORBy%2BDHTI5RJDjRYQqzIkge3nJhVCFKpA7ltON77I1%2FrTJC0977%2BkAHNmbRi%2FZ%2FLL4isNv%2BpB5OY3PgoIRUNt3c4DdGPrJQ3a7n6r6wW2oi%2BBZOxidynWMLOSIfhOg%2FJ7ut5R6jkgDV7rEj3kSJXVAzj5s0zfi6zjwmlEKaZyi5cjHp1Y9L01N%2BuEbIsNThbUlo11mAebrzmqG%2FM3dwT%2FdU3qfiDkhshlAJVu7LA0VREVkezBYesPevAGNMlkL5kiiG93YntkjIQpZQEwjyfw27Qor7JuveSef5QiwWnnsJ3SdNkwYbGtAKJuNlRV%2Brx2GFhmk1zkR%2BfWt3m5ZhsH59NRz0VzW3OAHWV7BQ1ljGZvC37ZYzAKRpVjj84h5A9lJWLd9Vb8z4FHv0tyRRvunaxLvCpL%2F6zNwnrIhYiJPi%2FOggRtyFz9%2BBuj7W1wJvXpeDguZU8ojGjQ7GwWzxG6BMCCMbQyQLwfFbSYZXKGo%2FfSuU8pz2hPPKf5P5A0DEocaZjbG%2FnzPZyZmRJlLSxgX8NtoY%2BsVNMwhluBtcq6Uu0d75LzMRXn8c79tHkrTcOiJj0Sv8Nj8mm5thiBjEOYKDyTf6oBR%2B%2F44oSolWrM4S3oD9cWm0DpBf%2FyTP5R7rzt3J4vMUnGIcSGyMWRVVWXnvUem1ejO%2FVsOq6AgMwvvrCxwY6sAG4oQehuUg5sDOM3n4izETCofwSgesK8s9jh96wn%2FE8Usn0mnpoQFzOwCjwcG9dKhw3QaR6glCnqoJ9LfDpm2d4W8mGCt3j5dznuuFvLH4RzK5W%2Bymqibd3PNpk6QQQhebLK1c74Skgc%2F68AIQEZnTiWESDHmjj63LWGQ0FRosJKbPfzFu0intDnA8sF9PrJpDn0iJouFGAx8%2BdbsGTyHA7dXky%2Bga%2Bf6trLRvdhLNWjQ%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251016T095848Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAUPUUPRWEVRLPCL4M%2F20251016%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=4b995fa1f83323d70a2844ceacc2b68e14cc9d95c75a851e200a5f327fc1d452&abstractId=3121117
"Since our research aims to discover the “why” behind business decisions and new technology adoption, using predetermined responses would fail to show unpredictable elements.","Dau et al. (2017),","""Semi-structured interview guides allow researchers to ask open-ended ques-
tions and to interpret the ‘why’ question of a study in many research contexts,
whereas structured interviews tend to answer ‘how many’ questions and are
more suitable for data collection, surveys""",https://library.oapen.org/bitstream/handle/20.500.12657/102822/1/9781317365303.pdf#page=69
semi-structured interviews are best for learning the motivations behind choices and behaviour and would often provide additional information that was not initially anticipated.  ,Adams et al. (2015),"If you need to ask probing, open-ended questions and want to know the
independent thoughts of each individual in a group
r If you need to ask probing, open-ended questions on topics that your
respondentsmightnotbecandidaboutifsittingwithpeersinafocusgroup
r Ifyouneedtoconductaformativeprogramevaluationandwantone-on-one
interviewswithkeyprogrammanagers,staff,andfront-lineserviceproviders
r If you are examining uncharted territory with unknown but potential
momentous issues and your interviewers need maximum latitude to spot
useful leads and pursue them ",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/9781119171386.ch19?download=true&campaigns=%5B%7B%22position%22%3A%22ereader-last-page%22%2C%22uri%22%3A%22uri%3A707b1a3c-73e6-4188-b21f-2b05b70307d8%22%7D%2C%7B%22position%22%3A%22ereader-first-page%22%2C%22uri%22%3A%22uri%3A7691ea89-90f5-4086-9241-486673caed61%22%7D%5D
"until this moment, the effectiveness of international collaboration on plastic trade is limited because established treaties, conventions, and laws lack enforcement ","Cleanhub, 2014","""In 2023, the European Commission banned waste exports to nations that aren’t in the Organisation for Economic Co-operation and Development (OECD), unless a country’s government signs off on it and proves its waste process is environmentally friendly.

The OECD largely includes countries in Europe, North America, and Oceania, plus a couple in South and Central America, and Japan and South Korea in Asia.

In theory, this law will stop plastic waste from being exported to Vietnam, Malaysia, and Thailand if these countries can’t handle it properly, and will prevent other developing nations from rising up to replace them.

Unfortunately, the legislation won’t come into effect until the middle of 2026, and allows OECD members to keep exporting waste to Turkey, which is also in the OECD.

Another European Commission law adopted in 2023 laid down stricter rules for waste exports within the European Union and new measures to prevent illegal waste shipments.

The Basel Convention, a three-decade-old United Nations treaty on hazardous waste exports and disposal, finally added plastic to its regulations in 2021, but doesn’t have the teeth to properly enforce its rules.

Also, despite being signed by almost every nation in the world, it remains unsigned by five – including the US.""",
Increased influx of pollutants resulted in a negative impact on the environment and health of Chinese citizens ,"Shenzhen Zero Waste Environmental Public Welfare Undertakings Development Center, 2022","""The public health costs caused by plastic waste pollution can be discussed from three aspects: • Environmental pollution caused incineration and landfilling; • Pollution resulting from entering the environment due to ineffective collection and transport management; • Human health risks arising from excessive pollutants, such as heavy metals, in recycled plastic products due to ineffective regulation on the front end.""In 2023, the European Commission banned waste exports to nations that aren’t in the Organisation for Economic Co-operation and Development (OECD), unless a country’s government signs off on it and proves its waste process is environmentally friendly.

The OECD largely includes countries in Europe, North America, and Oceania, plus a couple in South and Central America, and Japan and South Korea in Asia.

In theory, this law will stop plastic waste from being exported to Vietnam, Malaysia, and Thailand if these countries can’t handle it properly, and will prevent other developing nations from rising up to replace them.

Unfortunately, the legislation won’t come into effect until the middle of 2026, and allows OECD members to keep exporting waste to Turkey, which is also in the OECD.

Another European Commission law adopted in 2023 laid down stricter rules for waste exports within the European Union and new measures to prevent illegal waste shipments.

The Basel Convention, a three-decade-old United Nations treaty on hazardous waste exports and disposal, finally added plastic to its regulations in 2021, but doesn’t have the teeth to properly enforce its rules.

Also, despite being signed by almost every nation in the world, it remains unsigned by five – including the US.""",
"In 2023, along with the import ban enforcement, the Chinese plastic recycling rate decreased by 21,3% and the trend  continued until June 2025","Wang et al., 2021","""The results show that plastic consumption increases from 7.60 million metric tons (mt) to 12.60 mt between 2017 and 2019, and subsequently rapidly decreases to 6.84 mt in 2020. The plastic recycling rate drastically decreased by 21.3% in 2017, and decreased slightly from 2017 to 2020, at an annual rate of 2.9% on average. China's ban shocked the decoupling trends, which showed resilience and motivated the development of robust plastic recycling, and the global recycling transformation pattern accelerated the dematerialization of plastics.""",
"In the authors’ understanding, a business model is defined as a conceptual framework that provides an overview of how a company generates profit and value, on strategic and operational levels, through material sourcing, processing capacity, revenue streams, and technology adaptation ","Nielsen & Lund, 2014","""A business model describes the coherence in the strategic choices which facilitate the handling of the processes and relations which create value on both the operational, tactical, and strategic levels in the organization. The business model is therefore the platform which connects resources, processes and the supply of a service which results in the fact that the company is profitable in the long term.""",
"The diagram starts with the import ban enforcement, which can directly, to some extent, change material sourcing in companies. Trade partners tend to rely on long-term relationships with trusted contractors (Cajal-Grossi et al., 2023), which raises concern about seamless business continuity in case of a supply chain disturbance. ","Cajal-Grossi et al., 2023","""Even when a contract is in place, it is not expected to be enforced in court but is rather intended to guide parties about what to expect in the relationship. Under these circumstances, parties tend to stick with partners they trust.""",
"According to Alonso et al. (2007), this kind of resource scarcity originates from institutional mechanisms, which in this case are trade restrictions that further result in increased access difficulty and higher material cost.","Alonso et al. (2007), ","""The most fundamental question of metric construction is “what does it mean to be ‘scarce'?” On the basis of the literature and the preceding case analysis, we propose two mechanisms that result in materials scarcity:? institutional inefficiency, failures by markets, firms and governments that can result in transitory resource unavailability, and physical constraints, the amount and quality of a resource that is physically determined and ultimately limits resource availability""",
"Compliance with regulations is a confounder between material sourcing, since a significant source of plastic waste is the subject of the ban, and the adoption of new technologies, which may be essential to adjust operational activities of a company. International trade law, according to Horvathy (2020), “reflects on the technological developments shaping the space in which international trade is taking space” (Horvathy, 2020). Since the Chinese technology could not process the amount and type of plastic waste imported, new trade regulations were enforced. Compliance with those regulations, along with other variables (e.g., material sourcing), will allow the adoption of new technologies that fit the current operational strategy of companies. ","Horvathy, 2020","""In other words, international trade law reflects on the technological developments shaping 
the space in which international trade is taking place, and on the other hand, the law must 
also respond to the challenges arising from new products and services, which have been 
created by the technological development.""",
Implementation of new solutions often requires multi-dimensional expertise. Inclusion of stakeholders in the decision-making process is a way of obtaining knowledge and ensuring their righteousness ,"Kamal et al., 2011","""Janssen and Cresswell
(2005) and Schneider (2002) highlight that in reality such projects
involve many different stakeholders – both from inside (directly) and
outside (indirectly) the organization – who possess knowledge and
expertise, which facilitates their roles during the projects and
interactions with one another. Massey, Montoya-Weiss, and Brown
(2001) also supports that the knowledge and expertise of stakeholders consists of relevant information that is actionable and based
on experience on different projects. Given their importance as sources
of knowledge and expertise, any TIS project model in public
administration should therefore include them so that LGAs can
consolidate and reconcile their intellectual capital or knowledge
assets during the project",
"Limited processing capacity poses a chance for companies to modernise the production process, which is not only beneficial for its efficiency but also contributes to an increase in revenue streams ","Lee, 2024","""In order to examine the dynamic process of technological innovation
through capital accumulation and efficiency, we conduct empirical
analysis using measures of technological innovation such as capital
turnover and return on sales. Capital turnover reflects the efficiency
with which a firm utilizes its capital to generate sales, while capital efficiency is influenced by technological innovation and improved management practices. Return on sales indicates the value generated per
dollar of sales, which can be augmented through product innovation. In
Schumpeter’s framework, we identify capital turnover as a driver of
process and organizational innovation, and return on sales as a driver of
product innovation."" ; "" The
empirical findings support the positive relationship between technological innovation and profitability""",
"Plastics are diverse, making them multifunctional. For that reason, they can be found in clothing, furniture, toys, cosmetics, and are widely used for packaging products.","NPO Kennis, 2022","Vanaf 1950 verandert het materiaal de manier waarop we leven ingrijpend. Het zit in onze kleren, cosmetica, speelgoed, smartphones en auto’s. Iedereen kent het, maar wat is het eigenlijk?",
